# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 6f53c942a634cd28729b86faad146a950ebd5d0fa6c6b28a45c3ede1acecb565
# retrieved: 2026-08-24T22:47:57Z
iata,name,latitude_deg,longitude_deg,iso_country,municipality,type,scheduled_service
ANF,Andrés Sabella Gálvez International Airport,-23.445274,-70.445232,CL,Antofagasta,large_airport,yes
ANI,Aniak Airport,61.581600,-159.542999,US,Aniak,medium_airport,yes
ANR,Antwerp International Airport (Deurne),51.190667,4.463153,BE,Antwerp,medium_airport,yes
ANS,Andahuaylas Airport,-13.706400,-73.350403,PE,Andahuaylas,small_airport,yes
ANU,V. C. Bird International Airport,17.136700,-61.792702,AG,Osbourn,large_airport,yes
ANV,Anvik Airport,62.646702,-160.190994,US,Anvik,medium_airport,yes
ANX,"Andøya Airport, Andenes",69.295193,16.139379,NO,Andenes,medium_airport,yes
AOE,Hasan Polatkan Airport,39.811644,30.519268,TR,Eskişehir,large_airport,yes
AOG,Anshan Teng'ao Airport / Anshan Air Base,41.105301,122.853996,CN,Anshan,medium_airport,yes
AOI,Marche Airport,43.616299,13.362300,IT,Falconara Marittima (AN),medium_airport,yes
AOJ,Aomori Airport,40.733777,140.689477,JP,Aomori,large_airport,yes
AOK,Karpathos Airport,35.421398,27.146000,GR,Karpathos Island,medium_airport,yes
AOO,Altoona Blair County Airport,40.296398,-78.320000,US,Altoona,medium_airport,yes
AOR,Sultan Abdul Halim Airport,6.189670,100.398003,MY,Alor Satar,medium_airport,yes
APK,Apataki Airport,-15.573600,-146.414993,PF,Apataki,small_airport,yes
APL,Nampula Airport,-15.105600,39.281799,MZ,Nampula,large_airport,yes
APN,Alpena County Regional Airport,45.078098,-83.560303,US,Alpena,medium_airport,yes
APO,Antonio Roldán Betancur Airport,7.811960,-76.716400,CO,Carepa,medium_airport,yes
APW,Faleolo International Airport,-13.830000,-172.007996,WS,Apia,large_airport,yes
AQA,Araraquara Airport,-21.812000,-48.132999,BR,Araraquara,medium_airport,yes
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,30.582199,117.050003,CN,Anqing,medium_airport,yes
AQI,Qaisumah–Hafar Al-Batin International Airport,28.335726,46.127108,SA,Qaisumah,large_airport,yes
AQJ,King Hussein International Airport,29.611601,35.018101,JO,Aqaba,large_airport,yes
AQP,Rodríguez Ballón International Airport,-16.340786,-71.569485,PE,Arequipa,large_airport,yes
ARC,Arctic Village Airport,68.114700,-145.578995,US,Arctic Village,medium_airport,yes
ARD,Alor Island - Mali Airport,-8.132340,124.597000,ID,Kabola,small_airport,yes
ARH,Talagi Airport,64.600304,40.716702,RU,Archangelsk,medium_airport,yes
ARI,Chacalluta International Airport,-18.348499,-70.338699,CL,Arica,medium_airport,yes
ARK,Arusha Airport,-3.367790,36.633301,TZ,Arusha,medium_airport,yes
ARM,Armidale Airport,-30.528099,151.617004,AU,Armidale,medium_airport,yes
ARN,Stockholm-Arlanda Airport,59.648490,17.928829,SE,Stockholm,large_airport,yes
ART,Watertown International Airport,43.991901,-76.021698,US,Watertown,medium_airport,yes
ARU,Araçatuba Airport,-21.141479,-50.424575,BR,Araçatuba,medium_airport,yes
ARW,Arad International Airport,46.176136,21.264322,RO,Arad,medium_airport,yes
ASB,Ashgabat International Airport,37.986801,58.361000,TM,Ashgabat,large_airport,yes
ASD,Andros Town Airport,24.697901,-77.795601,BS,Andros Town,medium_airport,yes
ASE,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,US,Aspen,medium_airport,yes
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,46.282843,48.010511,RU,Astrakhan,large_airport,yes
ASI,RAF Ascension Island,-7.970179,-14.392744,SH,Cat Hill,medium_airport,yes
ASJ,Amami Airport,28.430599,129.712997,JP,Amami,medium_airport,yes
ASM,Asmara International Airport,15.291900,38.910702,ER,Asmara,medium_airport,yes
ASO,Asosa Airport,10.018500,34.586300,ET,Asosa,medium_airport,yes
ASP,Alice Springs Airport,-23.806588,133.903427,AU,Alice Springs,medium_airport,yes
ASR,Kayseri Erkilet International Airport,38.770401,35.495399,TR,Kayseri,large_airport,yes
ASU,Silvio Pettirossi International Airport,-25.240156,-57.519227,PY,Asunción,large_airport,yes
ASV,Amboseli Airport,-2.644786,37.252922,KE,Ol Tukai,medium_airport,yes
ASW,Aswan International Airport,23.961075,32.820382,EG,Aswan,large_airport,yes
ATC,Arthur's Town Airport,24.629400,-75.673797,BS,Arthur's Town,medium_airport,yes
ATH,Athens Eleftherios Venizelos International Airport,37.936401,23.944500,GR,Spata-Artemida,large_airport,yes
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.467040,-157.436013,US,Atqasuk,medium_airport,yes
ATL,Hartsfield Jackson Atlanta International Airport,33.636700,-84.428101,US,Atlanta,large_airport,yes
ATM,Altamira Interstate Airport,-3.253144,-52.253938,BR,Altamira,medium_airport,yes
ATQ,Sri Guru Ram Das Ji International Airport,31.709600,74.797302,IN,Amritsar,large_airport,yes
ATT,Atmautluak Airport,60.866699,-162.272996,US,Atmautluak,small_airport,yes
ATW,Appleton International Airport,44.258515,-88.519000,US,Appleton,medium_airport,yes
ATY,Watertown Regional Airport,44.914001,-97.154701,US,Watertown,medium_airport,yes
ATZ,Asyut International Airport,27.045962,31.012760,EG,Asyut,large_airport,yes
AUA,Queen Beatrix International Airport,12.501056,-70.014281,AW,Oranjestad,large_airport,yes
AUC,Santiago Perez Airport,7.068880,-70.736900,CO,Arauca,medium_airport,yes
AUG,Augusta State Airport,44.320599,-69.797302,US,Augusta,medium_airport,yes
AUH,Zayed International Airport,24.440966,54.649237,AE,Abu Dhabi,large_airport,yes
AUK,Alakanuk Airport,62.682653,-164.722481,US,Alakanuk,small_airport,yes
AUL,Aur Island Airport,8.145280,171.173004,MH,Aur Atoll,small_airport,yes
AUQ,Hiva Oa-Atuona Airport,-9.768790,-139.011002,PF,Hiva Oa Island,medium_airport,yes
AUR,Aurillac airport,44.891399,2.421940,FR,Aurillac,medium_airport,yes
AUS,Austin Bergstrom International Airport,30.197535,-97.662015,US,Austin,large_airport,yes
AUU,Aurukun Airport,-13.354019,141.720028,AU,Aurukun,small_airport,yes
AUX,Araguaína Airport,-7.227870,-48.240501,BR,Araguaína,medium_airport,yes
AVA,Anshun Huangguoshu Airport,26.260556,105.873333,CN,Anshun (Xixiu),medium_airport,yes
AVK,Arvaikheer Airport,46.250301,102.802002,MN,Arvaikheer,medium_airport,yes
AVL,Asheville Regional Airport,35.435488,-82.541853,US,Asheville,medium_airport,yes
AVN,Avignon Caumont airport,43.907299,4.901830,FR,Avignon,medium_airport,yes
AVP,Wilkes-Barre/Scranton International Airport,41.337064,-75.724232,US,Wilkes-Barre/Scranton,medium_airport,yes
AVR,Amravati Airport,20.814608,77.717765,IN,Amravati,medium_airport,yes
AVV,Melbourne Avalon International Airport,-38.040269,144.467196,AU,Geelong/Melbourne,large_airport,yes
AWA,Hawassa International Airport,7.100611,38.396455,ET,Hawassa,large_airport,yes
AWK,Wake Island Airfield,19.282437,166.636637,UM,Wake Island,medium_airport,yes
AWZ,Qasem Soleimani International Airport,31.336400,48.763789,IR,Ahvaz,large_airport,yes
AXA,Clayton J. Lloyd International Airport,18.204773,-63.053830,AI,The Valley,medium_airport,yes
AXD,Alexandroupoli Democritus Airport,40.855900,25.956301,GR,Alexandroupolis,medium_airport,yes
AXF,Alxa Left Banner Bayanhot Airport,38.748317,105.584160,CN,Bayanhot,medium_airport,yes
AXJ,Amakusa Airport,32.482498,130.158997,JP,Amakusa,medium_airport,yes
AXM,El Eden Airport,4.452780,-75.766400,CO,Armenia,medium_airport,yes
AXP,Spring Point Airport,22.441799,-73.970901,BS,Spring Point,medium_airport,yes
AXR,Arutua Airport,-15.248300,-146.617004,PF,,medium_airport,yes
AXT,Akita Airport,39.615601,140.218994,JP,Akita,medium_airport,yes
AXU,Axum Airport,14.146800,38.772800,ET,Axum,medium_airport,yes
AYJ,Maharshi Valmiki International Airport,26.747736,82.163664,IN,Faizabad,medium_airport,yes
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,-13.154800,-74.204399,PE,Ayacucho,medium_airport,yes
AYQ,Ayers Rock Connellan Airport,-25.185913,130.977030,AU,Yulara,medium_airport,yes
AYT,Antalya International Airport,36.898701,30.800501,TR,Antalya,large_airport,yes
AZA,Mesa Gateway Airport,33.307800,-111.654999,US,Mesa,medium_airport,yes
AZD,Shahid Sadooghi Airport,31.904900,54.276501,IR,Yazd,medium_airport,yes
AZN,Andijan International Airport,40.727699,72.293999,UZ,Andijan,medium_airport,yes
AZO,Kalamazoo/Battle Creek International Airport,42.232105,-85.549637,US,Kalamazoo,medium_airport,yes
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414,DZ,Adrar,medium_airport,yes
AZS,Samaná El Catey International Airport,19.269259,-69.737405,DO,Samana,medium_airport,yes
BAH,Bahrain International Airport,26.267295,50.637640,BH,Manama,large_airport,yes
BAL,Batman Airport,37.929001,41.116600,TR,Batman,medium_airport,yes
BAQ,Ernesto Cortissoz International Airport,10.889600,-74.780800,CO,Barranquilla,large_airport,yes
BAR,Qionghai Bo'ao Airport,19.140951,110.452766,CN,Qionghai (Basuo),medium_airport,yes
BAS,Ballalae Airport,-6.990745,155.886656,SB,Ballalae,small_airport,yes
BAV,Baotou Donghe International Airport,40.560001,109.997002,CN,Baotou,large_airport,yes
BAX,Barnaul Gherman Titov International Airport,53.361285,83.539701,RU,Barnaul,large_airport,yes
BAY,Maramureș International Airport,47.658444,23.464445,RO,Tăuții-Măgherăuș,medium_airport,yes
BAZ,Barcelos Airport,-0.981191,-62.918603,BR,Barcelos,small_airport,yes
BBA,Balmaceda Airport,-45.915968,-71.689499,CL,Balmaceda,medium_airport,yes
BBG,Butaritari Airport,3.085830,172.811005,KI,Butaritari,small_airport,yes
BBI,Biju Patnaik International Airport,20.251021,85.814747,IN,Bhubaneswar,large_airport,yes
BBK,Kasane International Airport,-17.831653,25.166195,BW,Kasane,large_airport,yes
BBM,Battambang Airport,13.095600,103.223999,KH,Battambang,medium_airport,yes
BBN,Bario Airport,3.734648,115.478548,MY,Bario,medium_airport,yes
BBO,Berbera Airport,10.385035,44.936723,SO,Berbera,medium_airport,yes
BBQ,Burton-Nibbs International Airport,17.621194,-61.798347,AG,Codrington,medium_airport,yes
BBR,Basse-Terre Baillif Airport,16.013648,-61.742928,GP,Basse-Terre,small_airport,yes
BBU,Bucharest Băneasa Aurel Vlaicu International Airport,44.503133,26.102944,RO,Bucharest,large_airport,yes
BCA,Gustavo Rizo Airport,20.365299,-74.506203,CU,Baracoa,medium_airport,yes
BCD,Bacolod-Silay International Airport,10.776237,123.018879,PH,Bacolod City,large_airport,yes
BCH,Baucau Airport,-8.486479,126.399981,TL,Baucau,medium_airport,yes
BCI,Barcaldine Airport,-23.566268,145.302086,AU,Barcaldine,medium_airport,yes
BCM,Bacău George Enescu International Airport,46.521900,26.910299,RO,Bacău,large_airport,yes
BCN,Josep Tarradellas Barcelona-El Prat Airport,41.297100,2.078460,ES,Barcelona,large_airport,yes
BCO,Jinka Airport,5.749655,36.560165,ET,Jinka,medium_airport,yes
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.482833,9.744000,NG,Bauchi,large_airport,yes
BDA,L.F. Wade International Airport,32.363802,-64.678240,BM,Hamilton,large_airport,yes
BDB,Bundaberg Airport,-24.905039,152.322612,AU,Bundaberg,medium_airport,yes
BDD,Badu Island Airport,-10.149550,142.173665,AU,Badu Island,small_airport,yes
BDH,Bandar Lengeh International Airport,26.532283,54.824840,IR,Bandar Lengeh,medium_airport,yes
BDJ,Syamsudin Noor International Airport,-3.440112,114.761209,ID,Banjarbaru,large_airport,yes
BDL,Bradley International Airport,41.938555,-72.688016,US,Hartford,large_airport,yes
BDO,Husein Sastranegara International Airport,-6.900630,107.575996,ID,Bandung,medium_airport,yes
BDP,Bhadrapur Airport,26.570801,88.079597,NP,Bhadrapur,small_airport,yes
BDQ,Vadodara International Airport,22.336201,73.226303,IN,Vadodara,large_airport,yes
BDS,Brindisi Airport,40.657600,17.947001,IT,Brindisi,large_airport,yes
BDT,Gbadolite Airport,4.252745,20.975271,CD,Gbadolite,medium_airport,yes
BDU,Bardufoss Airport,69.055801,18.540400,NO,Målselv,medium_airport,yes
BEB,Benbecula Airport,57.481098,-7.362780,GB,Balivanich,medium_airport,yes
BED,Laurence G Hanscom Field,42.470001,-71.289001,US,Bedford,medium_airport,yes
BEF,Bluefields Airport,11.991000,-83.774101,NI,Bluefields,medium_airport,yes
BEG,Belgrade Nikola Tesla Airport,44.818401,20.309099,RS,Belgrade,large_airport,yes
BEJ,Kalimarau Airport,2.147760,117.430705,ID,Tanjung Redeb - Borneo Island,medium_airport,yes
BEK,Bareilly Air Force Station,28.422100,79.450798,IN,Bareilly,medium_airport,yes
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,-1.379279,-48.476207,BR,Belém,large_airport,yes
BEM,Beni Mellal Airport,32.401895,-6.315905,MA,Oulad Yaich,large_airport,yes
BEN,Benina International Airport,32.096802,20.269501,LY,Benina,large_airport,yes
BER,Berlin Brandenburg Airport,52.361738,13.502341,DE,Berlin,large_airport,yes
BES,Brest Bretagne airport,48.447899,-4.418540,FR,Brest,large_airport,yes
BET,Bethel Airport,60.779800,-161.837997,US,Bethel,medium_airport,yes
BEU,Bedourie Airport,-24.346100,139.460007,AU,Bedourie,medium_airport,yes
BEW,Beira International Airport,-19.796400,34.907600,MZ,Beira,large_airport,yes
BEY,Beirut Rafic Hariri International Airport,33.819833,35.487443,LB,Beirut,large_airport,yes
BFD,Bradford Regional Airport,41.803101,-78.640099,US,Bradford,medium_airport,yes
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.874001,-103.596001,US,Scottsbluff,medium_airport,yes
BFI,King County International Airport - Boeing Field,47.527042,-122.299950,US,Seattle,medium_airport,yes
BFJ,Bijie Feixiong Airport,27.267066,105.472097,CN,Bijie,medium_airport,yes
BFL,Meadows Field,35.433601,-119.056999,US,Bakersfield,medium_airport,yes
BFN,Bram Fischer International Airport,-29.092699,26.302401,ZA,Bloemfontein,large_airport,yes
BFQ,Bahia Piña Airport,7.587370,-78.179939,PA,Puerto Piña,small_airport,yes
BFS,Belfast International Airport,54.657501,-6.215830,GB,Belfast,large_airport,yes
BFV,Buri Ram Airport,15.229500,103.252998,TH,Buriram,medium_airport,yes
BFY,Bengbu Tenghu Airport,33.166292,117.058344,CN,Bengbu,medium_airport,yes
BGA,Palonegro Airport,7.126500,-73.184800,CO,Bucaramanga,medium_airport,yes
BGC,Bragança Airport,41.857800,-6.707130,PT,Bragança,medium_airport,yes
BGF,Bangui M'Poko International Airport,4.398480,18.518801,CF,Bangui,large_airport,yes
BGG,Bingöl Airport,38.860131,40.594489,TR,Bingöl,small_airport,yes
BGI,Grantley Adams International Airport,13.074667,-59.491034,BB,Bridgetown,large_airport,yes
BGK,Big Creek Airport,16.519369,-88.407913,BZ,Big Creek,small_airport,yes
BGM,Greater Binghamton/Edwin A Link field,42.208698,-75.979797,US,Binghamton,medium_airport,yes
BGO,"Bergen Airport, Flesland",60.293400,5.218140,NO,Bergen,large_airport,yes
BGR,Bangor International Airport,44.806364,-68.826668,US,Bangor,medium_airport,yes
BGW,Baghdad International Airport / New Al Muthana Air Base,33.262501,44.234600,IQ,Baghdad,large_airport,yes
BGY,Il Caravaggio International Airport,45.669362,9.708851,IT,Orio al Serio (BG),large_airport,yes
BHB,Hancock County-Bar Harbor Airport,44.450001,-68.361504,US,Bar Harbor,medium_airport,yes
BHD,George Best Belfast City Airport,54.618099,-5.872500,GB,Belfast,medium_airport,yes
BHE,Woodbourne Airport,-41.518299,173.869995,NZ,Blenheim,medium_airport,yes
BHH,Bisha Airport,19.984400,42.620899,SA,Bisha,medium_airport,yes
