# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
ADU,OITL,medium_airport,Ardabil Airport,38.325699,48.424400,IR,IR-24,Ardabil,yes
ADV,ADV,small_airport,El Daein Airport,11.402300,26.118600,SD,SD-DE,El Daein,no
ADW,KADW,medium_airport,Joint Base Andrews,38.810799,-76.866997,US,US-MD,Camp Springs,no
ADX,EGQL,medium_airport,Leuchars Station Airfield,56.373980,-2.868862,GB,GB-SCT,"Leuchars, Fife",no
ADY,FAAL,small_airport,Alldays Airport,-22.679001,29.055500,ZA,ZA-NP,Alldays,no
ADZ,SKSP,large_airport,Gustavo Rojas Pinilla International Airport,12.583600,-81.711200,CO,CO-SAP,San Andrés,yes
AEA,NGTB,small_airport,Abemama Airport,0.490759,173.830287,KI,KI-G,Abemama,no
AEB,ZGBS,medium_airport,Baise (Bose) Bama Airport,23.720600,106.959999,CN,CN-45,Baise (Tianyang),yes
AEE,AEE,small_airport,Adareil Airport,10.053611,32.959444,SS,SS-NU,Adar,no
AEG,WIME,medium_airport,Aek Godang Airport,1.400100,99.430496,ID,ID-SU,Padang Sidempuan,no
AEH,FTTC,medium_airport,Abeche Airport,13.847000,20.844299,TD,TD-OD,Abeche,no
AEK,AYAX,small_airport,Aseki Airport,-7.350805,146.193994,PG,PG-MPL,Aseki,no
AEL,KAEL,small_airport,Albert Lea Municipal Airport,43.681499,-93.367203,US,US-MN,Albert Lea,no
AEM,UHTG,small_airport,Amgu Airport,45.841260,137.673568,RU,RU-PRI,Amgu,no
